"","word","vent","rev","model","uncond_ent","vmi","language"
"123","减",4.68989404748201,"Lower","Baseline",5.59,0.900105952517989,"ZH"
"124","几",4.0446718890261,"Lower","Baseline",5.59,1.54532811097389,"ZH"
"125","凡",4.6108028391359,"Lower","Baseline",5.59,0.979197160864101,"ZH"
"126","凯",4.67851399160482,"Lower","Baseline",5.59,0.91148600839518,"ZH"
"127","出",2.12857376800285,"Lower","Baseline",5.59,3.46142623199715,"ZH"
"128","分",2.90166550361211,"Lower","Baseline",5.59,2.68833449638789,"ZH"
"129","切",4.46929040905525,"Lower","Baseline",5.59,1.12070959094475,"ZH"
"130","划",4.42032329939457,"Lower","Baseline",5.59,1.16967670060543,"ZH"
"131","列",4.09468408768043,"Lower","Baseline",5.59,1.49531591231957,"ZH"
"132","则",2.59156202395442,"Lower","Baseline",5.59,2.99843797604558,"ZH"
"133","刚",3.53355244637157,"Lower","Baseline",5.59,2.05644755362843,"ZH"
"134","初",4.09503227571723,"Lower","Baseline",5.59,1.49496772428277,"ZH"
"135","利",4.13834219423152,"Lower","Baseline",5.59,1.45165780576848,"ZH"
"136","到",0.812300685497375,"Lower","Baseline",5.59,4.77769931450262,"ZH"
"137","制",3.10739197311327,"Lower","Baseline",5.59,2.48260802688673,"ZH"
"138","前",1.94579935731255,"Lower","Baseline",5.59,3.64420064268745,"ZH"
"139","剧",4.0985831753081,"Lower","Baseline",5.59,1.4914168246919,"ZH"
"140","剩",4.53206135997336,"Lower","Baseline",5.59,1.05793864002664,"ZH"
"141","力",4.36813005945331,"Lower","Baseline",5.59,1.22186994054669,"ZH"
"142","劝",4.54479071282075,"Lower","Baseline",5.59,1.04520928717925,"ZH"
"143","功",4.51802725486233,"Lower","Baseline",5.59,1.07197274513767,"ZH"
"144","加",3.59954821988638,"Lower","Baseline",5.59,1.99045178011362,"ZH"
"145","务",4.66157132462253,"Lower","Baseline",5.59,0.928428675377472,"ZH"
"146","动",3.59830140510982,"Lower","Baseline",5.59,1.99169859489018,"ZH"
"147","助",4.06378265234347,"Lower","Baseline",5.59,1.52621734765653,"ZH"
"148","励",4.36702731914697,"Lower","Baseline",5.59,1.22297268085303,"ZH"
"149","劳",4.68866229614807,"Lower","Baseline",5.59,0.901337703851925,"ZH"
"150","包",4.30012162858795,"Lower","Baseline",5.59,1.28987837141205,"ZH"
"151","化",4.18857995732567,"Lower","Baseline",5.59,1.40142004267433,"ZH"
"152","北",4.12765670898993,"Lower","Baseline",5.59,1.46234329101007,"ZH"
"153","匪",4.6492978010706,"Lower","Baseline",5.59,0.940702198929403,"ZH"
"154","区",2.68361259703089,"Lower","Baseline",5.59,2.90638740296911,"ZH"
"155","十",4.4146075228315,"Lower","Baseline",5.59,1.1753924771685,"ZH"
"156","千",4.5493320521039,"Lower","Baseline",5.59,1.0406679478961,"ZH"
"157","升",4.44693544617122,"Lower","Baseline",5.59,1.14306455382878,"ZH"
"158","午",4.66915536166251,"Lower","Baseline",5.59,0.920844638337494,"ZH"
"159","半",4.18301311957647,"Lower","Baseline",5.59,1.40698688042353,"ZH"
"160","单",4.18570507726999,"Lower","Baseline",5.59,1.40429492273001,"ZH"
"161","南",3.78604818944154,"Lower","Baseline",5.59,1.80395181055846,"ZH"
"162","博",4.52500656040665,"Lower","Baseline",5.59,1.06499343959335,"ZH"
"163","卡",4.1429332694142,"Lower","Baseline",5.59,1.4470667305858,"ZH"
"164","卢",4.7417256469901,"Lower","Baseline",5.59,0.848274353009898,"ZH"
"165","印",4.46506533501088,"Lower","Baseline",5.59,1.12493466498912,"ZH"
"166","却",2.03092954332219,"Lower","Baseline",5.59,3.55907045667781,"ZH"
"167","历",4.49693428854578,"Lower","Baseline",5.59,1.09306571145422,"ZH"
"168","压",4.45295142711157,"Lower","Baseline",5.59,1.13704857288843,"ZH"
"169","原",3.61079976769199,"Lower","Baseline",5.59,1.97920023230801,"ZH"
"170","去",1.49793100284606,"Lower","Baseline",5.59,4.09206899715394,"ZH"
"171","参",4.5067252703779,"Lower","Baseline",5.59,1.0832747296221,"ZH"
"172","叉",4.69236611248672,"Lower","Baseline",5.59,0.897633887513284,"ZH"
"173","及",1.48677824994799,"Lower","Baseline",5.59,4.10322175005201,"ZH"
"174","友",4.68720409996397,"Lower","Baseline",5.59,0.902795900036031,"ZH"
"175","发",2.96966744534896,"Lower","Baseline",5.59,2.62033255465104,"ZH"
"176","取",4.18113439727074,"Lower","Baseline",5.59,1.40886560272926,"ZH"
"177","受",3.14661695235824,"Lower","Baseline",5.59,2.44338304764176,"ZH"
"178","变",3.59868807494043,"Lower","Baseline",5.59,1.99131192505957,"ZH"
"179","口",4.23608134938173,"Lower","Baseline",5.59,1.35391865061827,"ZH"
"180","古",4.37935592580473,"Lower","Baseline",5.59,1.21064407419527,"ZH"
"181","另",2.99458081711981,"Lower","Baseline",5.59,2.59541918288019,"ZH"
"182","只",2.02019591229511,"Lower","Baseline",5.59,3.56980408770489,"ZH"
"183","叫",2.72820699221479,"Lower","Baseline",5.59,2.86179300778521,"ZH"
"184","可",1.84634229035105,"Lower","Baseline",5.59,3.74365770964895,"ZH"
"185","史",4.2004059079702,"Lower","Baseline",5.59,1.3895940920298,"ZH"
"186","司",4.3800028474965,"Lower","Baseline",5.59,1.2099971525035,"ZH"
"187","叹",4.59571514324897,"Lower","Baseline",5.59,0.994284856751033,"ZH"
"188","吁",4.54011721889401,"Lower","Baseline",5.59,1.04988278110599,"ZH"
"189","吃",2.50705347533642,"Lower","Baseline",5.59,3.08294652466358,"ZH"
"190","合",4.31246119386145,"Lower","Baseline",5.59,1.27753880613855,"ZH"
"191","同",3.10471555456701,"Lower","Baseline",5.59,2.48528444543299,"ZH"
"192","名",3.02327527500829,"Lower","Baseline",5.59,2.56672472499171,"ZH"
"193","后",1.03836413908184,"Lower","Baseline",5.59,4.55163586091816,"ZH"
"194","向",1.93543006015892,"Lower","Baseline",5.59,3.65456993984108,"ZH"
"195","否",4.78273607345969,"Lower","Baseline",5.59,0.807263926540307,"ZH"
"196","含",4.50198866354961,"Lower","Baseline",5.59,1.08801133645039,"ZH"
"197","吻",4.08633406372942,"Lower","Baseline",5.59,1.50366593627058,"ZH"
"198","呈",4.48275323808245,"Lower","Baseline",5.59,1.10724676191755,"ZH"
"199","告",4.71947620473503,"Lower","Baseline",5.59,0.87052379526497,"ZH"
"200","员",4.08692083263033,"Lower","Baseline",5.59,1.50307916736967,"ZH"
"201","呢",2.25891828077616,"Lower","Baseline",5.59,3.33108171922384,"ZH"
"202","周",4.07932024960722,"Lower","Baseline",5.59,1.51067975039278,"ZH"
"203","味",4.36795775987027,"Lower","Baseline",5.59,1.22204224012973,"ZH"
"204","呼",4.53781694427034,"Lower","Baseline",5.59,1.05218305572966,"ZH"
"205","命",4.44661466740623,"Lower","Baseline",5.59,1.14338533259377,"ZH"
"206","和",0.338321577471953,"Lower","Baseline",5.59,5.25167842252805,"ZH"
"207","品",3.72535768140213,"Lower","Baseline",5.59,1.86464231859787,"ZH"
"208","响",4.04960825427057,"Lower","Baseline",5.59,1.54039174572943,"ZH"
"209","唯",4.64312300551618,"Lower","Baseline",5.59,0.946876994483824,"ZH"
"210","商",4.28797100456304,"Lower","Baseline",5.59,1.30202899543696,"ZH"
"211","善",4.7074665179088,"Lower","Baseline",5.59,0.882533482091198,"ZH"
"212","喜",4.66865058100908,"Lower","Baseline",5.59,0.921349418990918,"ZH"
"213","喻",4.20483506211718,"Lower","Baseline",5.59,1.38516493788282,"ZH"
"214","器",4.09498285866192,"Lower","Baseline",5.59,1.49501714133808,"ZH"
"215","四",3.69852262713795,"Lower","Baseline",5.59,1.89147737286205,"ZH"
"216","回",3.21587520103025,"Lower","Baseline",5.59,2.37412479896975,"ZH"
"217","因",2.84908705319795,"Lower","Baseline",5.59,2.74091294680205,"ZH"
"218","团",3.81050945974159,"Lower","Baseline",5.59,1.77949054025841,"ZH"
"219","困",4.08214490116523,"Lower","Baseline",5.59,1.50785509883477,"ZH"
"220","固",3.939510471025,"Lower","Baseline",5.59,1.650489528975,"ZH"
"221","国",2.64705106598241,"Lower","Baseline",5.59,2.94294893401759,"ZH"
